Comunidades  autónomas;Gastos y duración media de los viajes;Tipo de dato;Periodo;Total
Total;Gasto total;Dato base;2020M12;696,16
Total;Gasto total;Dato base;2020M11;467,15
Total;Gasto total;Dato base;2020M10;861,80
Total;Gasto total;Dato base;2020M09;967,48
Total;Gasto total;Dato base;2020M08;2.456,83
Total;Gasto total;Dato base;2020M07;2.450,09
Total;Gasto total;Dato base;2020M06;133,37
Total;Gasto total;Dato base;2020M05;0,00
Total;Gasto total;Dato base;2020M04;0,00
Total;Gasto total;Dato base;2020M03;2.214,89
Total;Gasto total;Dato base;2020M02;4.713,58
Total;Gasto total;Dato base;2020M01;4.778,57
Total;Gasto total;Dato base;2019M12;5.010,84
Total;Gasto total;Dato base;2019M11;5.062,63
Total;Gasto total;Dato base;2019M10;8.322,55
Total;Gasto total;Dato base;2019M09;9.617,21
Total;Gasto total;Dato base;2019M08;11.704,76
Total;Gasto total;Dato base;2019M07;11.941,51
Total;Gasto total;Dato base;2019M06;9.686,12
Total;Gasto total;Dato base;2019M05;8.137,84
Total;Gasto total;Dato base;2019M04;7.056,36
Total;Gasto total;Dato base;2019M03;6.034,87
Total;Gasto total;Dato base;2019M02;4.658,61
Total;Gasto total;Dato base;2019M01;4.678,67
Total;Gasto total;Dato base;2018M12;5.009,52
Total;Gasto total;Dato base;2018M11;4.888,55
Total;Gasto total;Dato base;2018M10;8.164,58
Total;Gasto total;Dato base;2018M09;9.545,81
Total;Gasto total;Dato base;2018M08;11.459,69
Total;Gasto total;Dato base;2018M07;11.748,10
Total;Gasto total;Dato base;2018M06;9.370,81
Total;Gasto total;Dato base;2018M05;8.155,06
Total;Gasto total;Dato base;2018M04;6.621,53
Total;Gasto total;Dato base;2018M03;5.726,73
Total;Gasto total;Dato base;2018M02;4.535,94
Total;Gasto total;Dato base;2018M01;4.524,43
Total;Gasto total;Dato base;2017M12;4.530,66
Total;Gasto total;Dato base;2017M11;4.642,35
Total;Gasto total;Dato base;2017M10;7.789,23
Total;Gasto total;Dato base;2017M09;9.476,29
Total;Gasto total;Dato base;2017M08;11.340,29
Total;Gasto total;Dato base;2017M07;11.850,99
Total;Gasto total;Dato base;2017M06;8.987,77
Total;Gasto total;Dato base;2017M05;7.927,07
Total;Gasto total;Dato base;2017M04;6.782,08
Total;Gasto total;Dato base;2017M03;5.109,49
Total;Gasto total;Dato base;2017M02;4.304,73
Total;Gasto total;Dato base;2017M01;4.262,99
Total;Gasto total;Dato base;2016M12;4.525,45
Total;Gasto total;Dato base;2016M11;4.205,06
Total;Gasto total;Dato base;2016M10;7.333,85
Total;Gasto total;Dato base;2016M09;8.399,31
Total;Gasto total;Dato base;2016M08;10.281,98
Total;Gasto total;Dato base;2016M07;10.238,54
Total;Gasto total;Dato base;2016M06;7.817,41
Total;Gasto total;Dato base;2016M05;6.917,93
Total;Gasto total;Dato base;2016M04;5.627,99
Total;Gasto total;Dato base;2016M03;4.624,47
Total;Gasto total;Dato base;2016M02;3.706,27
Total;Gasto total;Dato base;2016M01;3.737,26
Total;Gasto total;Dato base;2015M12;3.773,27
Total;Gasto total;Dato base;2015M11;3.872,84
Total;Gasto total;Dato base;2015M10;6.280,63
Total;Gasto total;Tasa de variación anual;2020M12;-86,11
Total;Gasto total;Tasa de variación anual;2020M11;-90,77
Total;Gasto total;Tasa de variación anual;2020M10;-89,65
Total;Gasto total;Tasa de variación anual;2020M09;-89,94
Total;Gasto total;Tasa de variación anual;2020M08;-79,01
Total;Gasto total;Tasa de variación anual;2020M07;-79,48
Total;Gasto total;Tasa de variación anual;2020M06;-98,62
Total;Gasto total;Tasa de variación anual;2020M05;-100,00
Total;Gasto total;Tasa de variación anual;2020M04;-100,00
Total;Gasto total;Tasa de variación anual;2020M03;-63,30
Total;Gasto total;Tasa de variación anual;2020M02;1,18
Total;Gasto total;Tasa de variación anual;2020M01;2,14
Total;Gasto total;Tasa de variación anual;2019M12;0,03
Total;Gasto total;Tasa de variación anual;2019M11;3,56
Total;Gasto total;Tasa de variación anual;2019M10;1,93
Total;Gasto total;Tasa de variación anual;2019M09;0,75
Total;Gasto total;Tasa de variación anual;2019M08;2,14
Total;Gasto total;Tasa de variación anual;2019M07;1,65
Total;Gasto total;Tasa de variación anual;2019M06;3,36
Total;Gasto total;Tasa de variación anual;2019M05;-0,21
Total;Gasto total;Tasa de variación anual;2019M04;6,57
